#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-11-50
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1333652400.442028	CE4NKo4CmNmy1D4v2g	192.168.4.10	1040	23.1.211.24	80	1	GET	fpdownload.adobe.com	/pub/swz/crossdomain.xml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	209	200	OK	-	-	-	(empty)	-	-	-	-	-	FtIEO7Oe4BEzgBzUk	application/xml
1333652400.427293	CblXAM3Vqu7ZhYaLIk	192.168.4.10	1032	188.92.41.197	80	21	GET	www.livescore.in	/res/_in/image/cal-dart.gif	http://www.livescore.in/iframe/sport.php?sport=soccer&category=0&serial=361	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	139	200	OK	-	-	-	(empty)	-	-	-	-	-	Fss7Ze3akm21Um3wS7	image/gif
1333652400.643488	CblXAM3Vqu7ZhYaLIk	192.168.4.10	1032	188.92.41.197	80	22	GET	www.livescore.in	/res/_in/image/table_head_green.gif	http://www.livescore.in/iframe/sport.php?sport=soccer&category=0&serial=361	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	50	200	OK	-	-	-	(empty)	-	-	-	-	-	F41bNW1sH0h5zZ7ryi	image/gif
1333652400.758246	CblXAM3Vqu7ZhYaLIk	192.168.4.10	1032	188.92.41.197	80	23	GET	www.livescore.in	/res/_in/image/icons-iframe.gif	http://www.livescore.in/iframe/sport.php?sport=soccer&category=0&serial=361	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1376	200	OK	-	-	-	(empty)	-	-	-	-	-	FBQgIu4uE3qkPWS2t7	image/gif
1333652400.874255	CblXAM3Vqu7ZhYaLIk	192.168.4.10	1032	188.92.41.197	80	24	GET	www.livescore.in	/res/_in/image/card-red.gif	http://www.livescore.in/iframe/sport.php?sport=soccer&category=0&serial=361	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	436	200	OK	-	-	-	(empty)	-	-	-	-	-	F8WO4S2d9Rxu8NTxQ	image/gif
1333652401.179871	CE4NKo4CmNmy1D4v2g	192.168.4.10	1040	23.1.211.24	80	2	GET	fpdownload.adobe.com	/crossdomain.xml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	141	200	OK	-	-	-	(empty)	-	-	-	-	-	FYGUS72wIqmD4485R9	application/xml
1333652401.101987	CblXAM3Vqu7ZhYaLIk	192.168.4.10	1032	188.92.41.197	80	25	GET	www.livescore.in	/res/image/tooltip/neutral-ie6.png	http://www.livescore.in/iframe/sport.php?sport=soccer&category=0&serial=361	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3035	200	OK	-	-	-	(empty)	-	-	-	-	-	FXzLYX20HHUDHwyY86	image/png
1333652401.120141	CppZc64IVwBeBFijNc	192.168.4.10	1031	188.92.41.197	80	21	GET	www.livescore.in	/res/social/social.php	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1507	200	OK	-	-	-	(empty)	-	-	-	-	-	FWhLbSF4bmhc8DH21	text/html
1333652401.288782	CYlCL74XFccDWmVetd	192.168.4.10	1041	188.92.41.196	80	1	GET	b.livesportmedia.eu	/delivery.php?banner_id=3828	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3362	200	OK	-	-	-	(empty)	-	-	-	-	-	F53rHU3zLqiiyr4hhk	text/html
1333652401.348505	CABwvE3S2d9MfTcC9c	192.168.4.10	1042	188.92.41.196	80	1	GET	b.livesportmedia.eu	/delivery.php?banner_id=4204	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3304	200	OK	-	-	-	(empty)	-	-	-	-	-	Ft6LRm2dHpLeJs9lzd	text/html
1333652402.131468	CppZc64IVwBeBFijNc	192.168.4.10	1031	188.92.41.197	80	22	GET	www.livescore.in	/res/image/icons-anim.2.gif	http://www.livescore.in/iframe/sport.php?sport=soccer&category=0&serial=361	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	804	200	OK	-	-	-	(empty)	-	-	-	-	-	FlBt6M2bl9vV98DPY9	image/gif
1333652402.131111	CblXAM3Vqu7ZhYaLIk	192.168.4.10	1032	188.92.41.197	80	26	GET	www.livescore.in	/res/image/status.gif?rotation=even	http://www.livescore.in/iframe/sport.php?sport=soccer&category=0&serial=361	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	474	200	OK	-	-	-	(empty)	-	-	-	-	-	FDHP0q3FsiaXo4cmzd	image/gif
