#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-08-15
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1348782820.872793	ChHtpx1CeLFTbnLtp9	192.168.69.10	1034	146.82.152.235	80	6	GET	c1601132.cdn.cloudfiles.rackspacecloud.com	/Directory/FXTG/FXTG_100-33px_4-May12.jpg	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4135	200	OK	-	-	-	(empty)	-	-	-	-	-	FRkpFu3YS0W6ug4U54	image/jpeg
1348782820.920881	ChHtpx1CeLFTbnLtp9	192.168.69.10	1034	146.82.152.235	80	7	GET	c1601132.cdn.cloudfiles.rackspacecloud.com	/fxcm_100x33_4.gif	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1519	200	OK	-	-	-	(empty)	-	-	-	-	-	FgsgiYbyZiYwyQjqk	image/gif
1348782820.920633	CvJw7014jwdOdZrV16	192.168.69.10	1033	146.82.152.235	80	13	GET	c1308342.cdn.cloudfiles.rackspacecloud.com	/FP_logo_slogan_new.png	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4312	200	OK	-	-	-	(empty)	-	-	-	-	-	F1pkuv3W1MjlC6LGvd	image/png
1348782820.921074	CcYU212tB6x5HWmj83	192.168.69.10	1032	146.82.152.235	80	12	GET	c1308342.cdn.cloudfiles.rackspacecloud.com	/news/Bullish_309x143.jpg	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	22490	200	OK	-	-	-	(empty)	-	-	-	-	-	F38mr7oVra1LPmI7l	image/jpeg
1348782820.872577	CiTcXk2xtJuWJHvAi1	192.168.69.10	1035	146.82.152.235	80	9	GET	c1601132.cdn.cloudfiles.rackspacecloud.com	/Broker Buttons/MIG/mig-capital.gif	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1554	200	OK	-	-	-	(empty)	-	-	-	-	-	FHwSaH1zikI4hc4ld9	image/gif
1348782821.001474	CvJw7014jwdOdZrV16	192.168.69.10	1033	146.82.152.235	80	14	GET	c1308342.cdn.cloudfiles.rackspacecloud.com	/news/news_arrow_down_108x81.jpg	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7612	200	OK	-	-	-	(empty)	-	-	-	-	-	FXCYf44rpIIYcgN6qa	image/jpeg
1348782820.999986	CcYU212tB6x5HWmj83	192.168.69.10	1032	146.82.152.235	80	13	GET	c1308342.cdn.cloudfiles.rackspacecloud.com	/news/bull_s_3.jpg	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7528	200	OK	-	-	-	(empty)	-	-	-	-	-	FYydPfCSlwBEIMGn7	image/jpeg
1348782821.001283	CiTcXk2xtJuWJHvAi1	192.168.69.10	1035	146.82.152.235	80	10	GET	c1601132.cdn.cloudfiles.rackspacecloud.com	/Broker Buttons/Trading Point/XEM_100x33.png	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3806	200	OK	-	-	-	(empty)	-	-	-	-	-	FeTW7g1z7YaHiIiWw4	image/png
1348782821.001076	ChHtpx1CeLFTbnLtp9	192.168.69.10	1034	146.82.152.235	80	8	GET	c1601132.cdn.cloudfiles.rackspacecloud.com	/avafx_100x33.gif	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1872	200	OK	-	-	-	(empty)	-	-	-	-	-	FikpIt3n5EEgPxTBFe	image/gif
1348782821.13287	CiTcXk2xtJuWJHvAi1	192.168.69.10	1035	146.82.152.235	80	11	GET	c1601132.cdn.cloudfiles.rackspacecloud.com	/nordfx_100x33_1.gif	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1824	200	OK	-	-	-	(empty)	-	-	-	-	-	F0c6GR2PI7xrurZ6Da	image/gif
1348782821.130274	CvJw7014jwdOdZrV16	192.168.69.10	1033	146.82.152.235	80	15	GET	c1308342.cdn.cloudfiles.rackspacecloud.com	/quotes_bar_images.png	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4785	200	OK	-	-	-	(empty)	-	-	-	-	-	FI5KHY2D3Wj69dpY53	image/png
1348782821.224038	CiTcXk2xtJuWJHvAi1	192.168.69.10	1035	146.82.152.235	80	12	GET	c1601132.cdn.cloudfiles.rackspacecloud.com	/Directory/JFX/JFX-LOGO.jpg	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4008	200	OK	-	-	-	(empty)	-	-	-	-	-	FRyAcM2dzC0LPSzya9	image/jpeg
1348782821.224295	ChHtpx1CeLFTbnLtp9	192.168.69.10	1034	146.82.152.235	80	9	GET	c1601132.cdn.cloudfiles.rackspacecloud.com	/GFT_100x33.png	http://www.forexpros.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3127	200	OK	-	-	-	(empty)	-	-	-	-	-	FFGtn44LSoiEHryFw3	image/png
1348782821.653434	CIJ50h25GF19oQZGtd	192.168.69.10	1042	74.125.45.149	80	1	GET	ad.doubleclick.net	/N6938/adj/FP_EN_site/FP_EN_Leaderboard_Default;sz=728x90;ord=9231863258751440?	http://www.forexpros.com/ad_iframe_dart.php?width=728&height=90&adunit=FP_EN_site/FP_EN_Leaderboard_Default;sz=728x90	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9977	200	OK	-	-	-	(empty)	-	-	-	-	-	FCjcRg1KVUDKQzDWh	text/plain
