#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-22-58
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1337207627.963241	CgYdOq4xCpqqxNINUe	192.168.127.10	1041	62.210.160.193	80	8	GET	www.easyvols.org	/base/js/completionMEC.js	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13155	200	OK	-	-	-	(empty)	-	-	-	-	-	Fm80u122p3TeSBV8H4	text/plain
1337207627.855864	C2iCNq2VPjHCfuXnwe	192.168.127.10	1042	27.121.104.59	80	3	GET	www.ukforex.co.uk	/Content/themes/ozforex/styles.custom.css	http://www.ukforex.co.uk/partner-tools/CurrencyConverter/UK/w	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12162	200	OK	-	-	-	(empty)	-	-	-	-	-	FkjMVR2A5WW3aQlUZ5	text/plain
1337207628.039937	Cs8OXv4P9otVNuzqcj	192.168.127.10	1047	62.210.160.193	80	4	GET	www.easyvols.org	/base/js/doubleCalendar.js	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	27890	200	OK	-	-	-	(empty)	-	-	-	-	-	FLmPS21jvZXaoDn8f9	text/plain
1337207628.058472	CgYdOq4xCpqqxNINUe	192.168.127.10	1041	62.210.160.193	80	9	GET	www.easyvols.org	/base/css/js/formMEV.css	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	348	200	OK	-	-	-	(empty)	-	-	-	-	-	FNqQmo3VB1TfbYnV8	text/plain
1337207628.135427	Cs8OXv4P9otVNuzqcj	192.168.127.10	1047	62.210.160.193	80	5	GET	www.easyvols.org	/base/css/js/completionMEV.css	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1391	200	OK	-	-	-	(empty)	-	-	-	-	-	FUYJY82Wi6l69KJEp5	text/plain
1337207628.151636	CgYdOq4xCpqqxNINUe	192.168.127.10	1041	62.210.160.193	80	10	GET	www.easyvols.org	/base/css/js/completionMEH.css	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1172	200	OK	-	-	-	(empty)	-	-	-	-	-	F53KWK1JhZ4PHDvHzg	text/plain
1337207628.074299	C2iCNq2VPjHCfuXnwe	192.168.127.10	1042	27.121.104.59	80	4	GET	www.ukforex.co.uk	/Content/themes/ozforex/toolkit.css	http://www.ukforex.co.uk/partner-tools/CurrencyConverter/UK/w	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12391	200	OK	-	-	-	(empty)	-	-	-	-	-	FtwXtV3NXCbokjqqV2	text/plain
1337207628.228197	Cs8OXv4P9otVNuzqcj	192.168.127.10	1047	62.210.160.193	80	6	GET	www.easyvols.org	/base/css/js/completionMEC.css	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	744	200	OK	-	-	-	(empty)	-	-	-	-	-	FmTirG37D4U18coKA	text/plain
1337207628.245013	CgYdOq4xCpqqxNINUe	192.168.127.10	1041	62.210.160.193	80	11	GET	www.easyvols.org	/base/css/js/calendar.css	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	801	200	OK	-	-	-	(empty)	-	-	-	-	-	FfNy4RJK5HrlxbpZ5	text/plain
1337207628.355059	Cs8OXv4P9otVNuzqcj	192.168.127.10	1047	62.210.160.193	80	7	GET	www.easyvols.org	/base/styles/ei/en/type_a/300x150/def_mevhcp.css	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9802	200	OK	-	-	-	(empty)	-	-	-	-	-	FEGIz94DcfWA63n9I5	text/plain
